,train,val,test
0,02d3c810-0b5c-4fa4-bed6-1c2cfb13c737_20,2cc2d1c1-eeeb-4a84-89b1-1f41b63073c4_20,d1259a42-e4bd-4c18-a20c-6cb237a139e0_20
1,10c65d48-4573-4c36-b910-067bd6e0deff_20,8f31c4d1-27d7-428a-a0cc-0d8442085ce9_20,de92f954-19c4-42be-b03b-2dd339dc7ee0_20
2,1b2fa2eb-44b5-410e-b34c-c935c144b0df_20,0d9a2a2e-f1ca-4d8e-8676-6f5e24678e42_20,1a78f213-c50f-4fba-8b90-ce72ba7fdeb4_20
3,21f1e11b-0b69-4171-9eb9-8e2a60b8b6b2_20,ae648a6b-84c3-4bfa-a194-017c21399f40_20,f6ef56a5-8993-468a-a2c2-f8626931ab93_20
4,24a92487-f50a-4aef-9281-d260232ce22f_20,b072f4db-d24a-41f0-8892-717aa2061960_20,adc76e2d-01f0-49ab-a7d5-829aa5c197ee_20
5,26ad515c-fd2a-4b23-823f-6ff2017b2387_20,75a6e914-5b03-485d-9309-098a728082f3_20,6fe7f074-124d-49fd-bcaf-95894c257e2f_20
6,27d4d42f-abb8-41c0-99c2-e90e80ae0d7f_20,20897e99-5ad3-4d38-a1d9-08bbfdc01aa8_20,565720ce-5ab9-46cc-a20b-109ad35fb2bb_20
7,2b88875a-b402-448f-a6f8-a1ee2e39ce53_20,cf4e06a0-2190-4189-b489-4132a4d2acfd_20,c9b76172-f2c8-4c66-9a5b-f600fb95ca37_20
8,2da8123f-9895-44d5-b2f7-30cc1fc8a216_20,26133ea9-72af-48d2-8e45-39a15c5e76a2_20,5e575854-2141-4f46-927e-062784c473d1_20
9,32ad4133-a382-4b50-ba42-bedda35362db_20,6d0705a1-c1c8-45b5-8956-dbba3df0c92c_20,84e2f3e7-126c-4e1f-98e5-8fc6a8228691_20
10,365ba9b3-a071-4742-a20c-2ee5be19b682_20,cd04086c-f96f-415b-8114-17b19e9153c8_20,534007d7-cc8c-435d-903b-69db65df22f9_20
11,36cf3923-bb7f-4f9c-b21d-4c13a32341ea_20,4e6b4293-2a2c-41dc-80d6-34939953d0e2_20,a3848fe5-863e-4b0c-829e-3d59c7d30dd2_20
12,38b6cc97-4f90-49c9-a12d-17cfb7f25074_20,1c316381-3636-4fc5-8369-4c4c1ea0cd95_20,27465606-fe93-4371-9d40-7fd643594d81_20
13,3c4f3b72-6047-4ed9-bd30-e0b0de8ed0e5_20,41a3b6ea-0c50-4d83-9910-14863c6bcdde_20,71fee743-bbc5-4a62-a752-b3f11d65bf8f_20
14,3ca74862-ea62-4a00-a471-1000e4abd57d_20,85d55961-fddf-4d1c-ad59-36e6fb90d7aa_20,e5762967-5f2c-4262-ad4b-6c3b6f481d6d_20
15,3d106952-d62d-437c-bfa7-1844c486649c_20,27a69c7e-d81f-482d-82f0-03623e87f992_20,f819ddf7-d21d-4b14-abe8-6588c01e2287_20
16,4248f5b0-e320-4c01-9286-42abc72cf583_20,a6e43f85-8a68-4ac5-ab5c-25498ad5f30b_20,37b1b813-bb22-48d4-ae30-1212c58734e6_20
17,58e6788b-6035-413f-9989-4ee12cb746e4_20,2fb36bc8-4afa-45fb-b579-bcc6d3f6bd42_20,a644408b-b6c7-4416-a893-5845a1141f7c_20
18,72f1482a-de97-4e65-9d57-a1a035effca5_20,34ce47f1-5364-4a74-946a-3ac22c206ba1_20,e22a8d0e-a0b6-48fd-969f-aba24d3fe52f_20
19,74dc5aa9-0cb7-4732-8a00-ba68f5515f4b_20,ad0c02ba-314a-4856-b626-9847ab43f211_20,debab9f2-c8e6-4b89-bff4-895e93e0e7a7_20
20,763e084a-85a0-4883-b67f-12ad3660617e_20,5006bc5c-0e8d-42d0-9eb3-2752d608061e_20,77908aa4-4d84-488f-bf54-2c492572de67_20
21,7cab68a5-c499-4c4f-8807-08be3f79fbc8_20,c0b11187-b8f0-42f1-9456-e4df8d533bd9_20,a58376f2-8a8e-4977-a9d2-b80564f8f271_20
22,8011bff3-ddbc-4395-b35a-5576460f00a0_20,b261f3a5-ae9f-4154-90cd-3f32c41f2d18_20,1791ec3d-758d-4fd7-9e78-ba00b349ed4d_20
23,844da204-79f6-4225-8b94-afeee971fd1a_20,31dc440b-f83e-4f83-8e05-863678c948c3_20,be2979a2-46e2-4bd0-9271-43b4c7ac0b8b_20
24,8f06d153-be29-4d63-86c9-5a51df5988b4_20,2389a464-c0f6-4121-a06e-88da901ee8ca_20,8228768b-794b-4245-a632-a676c8a116f3_20
25,95444747-7c61-4ce9-a843-763c26a3781b_20,68b1f3b9-fc8c-47b0-9931-b922e1771b1f_20,2752c7f7-bf59-4e76-b1fd-dfb5d7f78496_20
26,9793f118-8ad5-43e2-b499-71ae3d5841d4_20,1f3f6eef-c62b-4555-8507-51fddba2996a_20,07f086a1-697b-42e5-8ca3-67533045aec1_20
27,9c2edb86-66e1-405a-8e04-d285e7a2dbee_20,14232aef-8aba-4fa0-94b9-468c7a7a7da8_20,6c6403e4-f3f9-4020-8ac1-bb557c593b06_20
28,a4b57888-2926-42d2-99de-76cda2ddfd0f_20,e05533db-bb42-41cc-a2c7-ed741c32c43d_20,c0e2b16f-3bec-45cb-84c4-57efda4a1ff3_20
29,a4f2622a-f35b-4b74-8741-f43c56a8dacc_20,192ef95b-ce12-4962-a70d-26ff70f32176_20,cae4e29f-9b8f-4c52-9d85-369cf156db5b_20
30,aa628c8b-b0b1-483c-82e5-897f075addd5_20,10d69768-9422-4a8d-9376-ce40407735a6_20,bc2c1adc-456d-41e9-b6cb-28c3aca5574a_20
31,aee56ea7-e0ec-40c7-a92b-a73f588368ca_20,3ead2bef-abb7-4cbe-a63b-a5e5ee8e2806_20,8aeadef8-09b8-4b62-b5d9-0e0c7b4fa2cc_20
32,b0b5422d-b905-4dfb-a048-f3fdb48afd9d_20,839e8c53-dab0-416e-80d2-400762444455_20,a37cfb3e-d3a1-4d02-825b-76859a960a83_20
33,be492542-1256-437c-bee3-909408a4c39d_20,1c2d056e-a05c-41a2-b161-834e8d6ce0b8_20,b8474436-4664-4716-a46d-7a4dbaebaff0_20
34,c053b8a5-4340-4a54-818a-6a9c76e6b2fb_20,279c30d3-7fd0-4634-8587-4a9e67c8d1dc_20,96975363-47f4-4000-a998-0aa3e205195c_20
35,c0742f8b-1497-4582-a18c-0c9573029387_20,bb6bf795-94e3-4315-b9a6-d32efe4851bc_20,2ffa5a9e-4e33-4213-ae88-1ec5e63af356_20
36,c144832c-aa21-497c-be43-c57468765cb6_20,cd3e8a27-fe28-49be-89cf-424ce587da38_20,6487eaf1-84db-4761-9951-28697d931e3e_20
37,c3f6b611-4fbb-4e46-bf96-2041fbbbaf51_20,1b130f0f-385e-48c7-8704-3c1f727f5154_20,02aef94b-ee1f-4eda-88a1-0ec452c6f755_20
38,cfed8309-2ffc-4af4-8a55-30d1f2ae46b0_20,0a855250-6575-487c-bd80-262aa806a12e_20,261c90ea-dc41-40bb-8329-e9e3e16ef357_20
39,d191b558-48d7-4d39-9eca-c1ba05b6ce49_20,77e51717-7c62-4444-b644-03ccfd89fd23_20,a173b66f-ace1-4e12-aada-fdff4d330da4_20
40,e14e9f1f-6783-4198-942f-92e131b343b6_20,6d4a6b50-a67d-45cf-837d-27e62fc4c18d_20,a3c2bd42-f652-45d2-b4be-2447ddd49af4_20
41,e55753ce-39e7-45a6-b28e-e6332121b743_20,c562e72e-05b0-421e-9ee4-df1510c7256d_20,e15544eb-7d9c-4e14-83bb-13398ff17c95_20
