,train,val,test
0,1307190-he1_20,2101342-he3 4(R)_20,1901936-he3_20
1,1307190-he2_20,1807184-he1_20,1807184-he2_20
2,1307190-he3_20,1710899-he1 2(R)_20,1810357-he5 6_20
3,1601250-he1_20,1810357-he3_20,1810357-he2_20
4,1601250-he2_20,1603462-he1_20,2102422-he2_20
5,1601250-he34(L)_20,2102422-he3_20,1707496-he4_20
6,1601250-he34(R)_20,1707496-he5_20,1912725-he2_20
7,1603462-he2_20,1603644-he4_20,1912725-he1_20
8,1603462-he3_20,1710899-he3_20,1901936-he1 2(L)_20
9,1603644-he2_20,1307190-he4 5 6_20,2101342-he1 2(R)_20
10,1603644-he3_20,1710899-he1 2(L)_20,1603644-he1_20
11,1603644-he5_20,1711858-he6_20,1806988-he11 12(L)_20
12,1603644-he6_20,2111425-he7 8(R)_20,1601280-he1 2(R)_20
13,1603644-he7_20,1704147-he7 8_20,1805688-he7_20
14,1707496-he1 2_20,1806988-he7 8(R)_20,2000738-he8_20
15,1707496-he3_20,1802988-he1 2_20,1704147-he3_20
16,1707496-he6_20,1803112-he1 2(R)_20,1708075-he3 4(L)_20
17,1707496-he7_20,1708075-he5 6(L)_20,1711289-he1 2_20
18,1707496-he8_20,2111425-he3_20,1907974-he3 4_20
19,1707496-he9_20,1707558-he2_20,2111425-he4_20
20,1710899-he4_20,1806988-he11 12(R)_20,2109950-he3 4(L)_20
21,1802564-he1 2(L)_20,1707558-he3_20,2109950-he7 8(R)_20
22,1802564-he1 2(R)_20,2000738-he1 2(R)_20,1805688-he1 2(R)_20
23,1807184-he3_20,1801752-2-he1 2_20,1708075-he1_20
24,1807184-he4_20,1600758-he8_20,1709417-he4_20
25,1810357-he1_20,1909722-he2_20,1801704-he1_20
26,1810357-he4_20,2005430-he5 6_20,1708075-he5 6(R)_20
27,1901936-he1 2(R)_20,1806988-he5 6(L)_20,1801939-2-he3_20
28,1901936-he4_20,1608666-he1 2(R)_20,1806988-he5 6(R)_20
29,2101342-he1 2(L)_20,1601280-he3 4(R)_20,1710016-he1 2(R)_20
30,2101342-he3 4(L)_20,1808442-he1 2(R)_20,1704147-he11 12 13_20
31,2102422-he1_20,1702478-he4_20,1710016-he1 2(L)_20
32,2102422-he4_20,1808442-he1 2(L)_20,1909722-he5_20
33,2105341-he3_20,1805719-he3 4(L)_20,2000738-he7_20
34,1600758-he4_20,2109950-he7 8(L)_20,2105341-he1 2(R)_20
35,1600758-he5_20,1805688-he5_20,1704147-he5_20
36,1600758-he6_20,2111425-he7 8(L)_20,1806810-he1 2(L)_20
37,1601280-he1 2(L)_20,1711858-he1_20,1813328-he1_20
38,1601280-he3 4(L)_20,1606236-he1 2 3_20,1909722-he4_20
39,1601913-he1 2_20,2000226-he1_20,1805688-he34(L)_20
40,1608666-he3_20,1806988-he3 4(R)_20,1700803-he6_20
41,1700803-he1 2(R)_20,1608666-he1 2(L)_20,1702846-he1 2 3(L)_20
42,1700803-he5_20,1802988-he3 4(R)_20,1710016-he5 6(R)_20
43,1700803-he9 10_20,2000226-he2_20,1805719-he34(R)_20
44,1702478-he1 2(L)_20,1711858-he4_20,2000226-he5_20
45,1702478-he1 2(R)_20,1700803-he1 2(L)_20,1806396-he1 2_20
46,1702478-he3_20,2102097-he13_20,2102097-he15_20
47,1702846-he1 2 3(R)_20,2003286-he8_20,2010715-he2_20
48,1704147-he1_20,1608306-he2_20,2009286-he5_20
49,1704147-he2_20,1602661-he4_20,1808261-he3_20
50,1704147-he4_20,1602661-he3_20,1607112-he1_20
51,1704147-he6_20,1803363-he3_20,1803363-he1_20
52,1704147-he9 10_20,1710685-he2_20,1808261-he5_20
